sum_data,max_pkt,pkt_count,avg_pkt,flow_speed,pkt_speed,delta_med,status
0.2975900809924083,0.29218496484586265,0.10183540556542332,0.6359467950917916,0.2976249477771069,0.1037885235719982,0.02544843470651062,0.0
0.7007377240750902,0.29218496484586265,0.1782119597394908,0.8780926525127699,0.694373499884846,0.17832489674312182,0.03183201885546096,0.0
0.6331483673147771,0.29218496484586265,0.16518650088809947,0.853629458814712,0.6289486028918514,0.1658635674927867,0.027993278177158545,0.0
0.5833221389645736,0.29218496484586265,0.1564746680199611,0.8285045210392759,0.5832746674071276,0.15829113788894755,0.029528774448483116,0.0
0.7826804446585357,0.29218496484586265,0.19132199949251458,0.9157730312330377,0.7642217207291688,0.1884301110283853,0.03167095281301575,0.0
0.8362128264969563,0.29218496484586265,0.21424342383489808,0.8766071376056931,0.8160330388180387,0.21064226107249437,0.029603938601624216,0.0
0.6043172338633541,0.29218496484586265,0.15698215342975555,0.8557186541144609,0.6043088380291964,0.15880901886231683,0.031107221664455238,0.0
0.6638898758403046,0.29218496484586265,0.17482872367419436,0.8473957842093272,0.6637308123547542,0.17657660056788324,0.029067051793468992,0.0
0.4257840957809575,0.29218496484586265,0.13769770785756574,0.6833111494316273,0.4257053249377925,0.13953712559127038,0.025673927165933925,0.0
0.6728134372836445,0.29218496484586265,0.15994248498688995,0.9359183436098157,0.6728133278471412,0.1617666722446144,0.04343951164775609,0.0
0.38889148965026527,0.29218496484586265,0.11782119597394908,0.7242191800567187,0.3859802318980526,0.11880373506224473,0.027349014007373176,0.0
0.42595337695681434,0.29218496484586265,0.12154275564577519,0.7702536408129866,0.42589875458719173,0.12342885238757172,0.029668365018602306,0.0
0.5605941146656177,0.29218496484586265,0.14480250359468833,0.8578242470731692,0.5556923843284248,0.14533964114479642,0.04131880875554949,0.0
0.6972009692375222,0.29218496484586265,0.1549522117905777,1.0,0.6969869776550354,0.15673855694368985,0.04477635980006265,0.0
0.5513835035670339,0.29218496484586265,0.14141926752939185,0.8630746081957135,0.5513056058827309,0.1432606837074178,0.04406230034521543,0.0
0.55706957720646,0.29218496484586265,0.1551213735938425,0.7977822546199186,0.5390169825473803,0.15173551684896194,0.03495133121083691,0.0
0.6586096188712446,0.29218496484586265,0.16958470777298484,0.8657717009562232,0.6474266755922792,0.16840831920446048,0.033093702854626414,0.0
0.593989320014198,0.29218496484586265,0.16425611097014295,0.8050946885177033,0.5843338098869617,0.16330336592160563,0.03058107259246303,0.0
0.4905212233190518,0.29218496484586265,0.14514082720121796,0.748677362697685,0.49054867852231054,0.14700123145036623,0.028573115929965826,0.0
0.645387596036377,0.29218496484586265,0.1759282753954157,0.818741331896508,0.6327307091931657,0.1741517202535872,0.026200076237926133,0.0
0.5297504618080933,0.29218496484586265,0.14260340015224562,0.8225257582596566,0.5297331156771071,0.1444574864488164,0.03128439431114723,0.0
0.5743485332596688,0.29218496484586265,0.15529053539710733,0.8217237671879392,0.5736913917189606,0.15693817720307784,0.029389183878359426,0.0
